,,,,,,,,,,,,,,,,,,,,,,,,,,,Hematomas,Hematomas,,Hematomas,Color,Color,Number,Number,WYGF Leg Band #,Cut Feathers,Collect,Labelled,Hematoma Group #,Hematomas Applied,samples collected,samples collected,samples collected,samples collected,hematocrit Cells,hematocrit Cells,hematocrit Plasma,hematocrit Plasma,hematocrit Total,hematocrit Total,,,,,,,
10,13-04-1989,3:23,3:35,MUD SPRINGS,White/Fox/Wallace,JUVENILE,MALE,Spotlight,2.9,0.35,,695,135,18,312,131,65,67,39.95,21.9,23.95,Olive yellow,0,Yellow,0,+,,"15/20R, 15/20L","0L, 7R",,WRed,WGreen ,1719,1584,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,21,20,11,11,32,31,no,no,NA,No ,No,Moderate,No hematozoans. Box 1
11,13-04-1989,,,MUD SPRINGS,White/Fox/Wallace,ADULT,MALE,Spotlight,3.3,0.35,,730,330,20,324,178,66,69,39.85,23.2,25.6,Olive yellow,0,Yellow,0,-,"1L, 11R",,1R,,Yellow,White,1112,1450,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,14,15,7,9,21,24,no,no,NA,No ,No,Moderate,No hematozoans. Box 1
12,13-04-1989,4:12,4:23,MUD SPRINGS,White/Wallace/Fox,ADULT,MALE,Spotlight,3.45,0.35,,752,312,19,324,182,65,66,37.7,23.2,25.1,Olive yellow,0,Bistre yellow,"2L, 1R",-,,"15 - 20 R, 15 - 20 L","1L, 0R",,Orange,WGreen ,787,1582,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,TRUE,9,13,9,8,18,21,no,no,NA,No ,No,Moderate,No hematozoans. Box 1. No blood data
13,13-04-1989,4:27,4:37,MUD SPRINGS,White/Wallace/Fox,ADULT,MALE,Spotlight,3.25,0.35,,782,329,19,330,172,67,66,39.5,22.4,27.4,Olive yellow,0,Bistre yellow,"0L, 1R",-,,"10 - 15L, 10 - 15 R",0,,Red,Blue,1713,1606,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,12,17,9,10,21,27,no,no,NA,No ,No,Moderate,Box 1. No infection
14,13-04-1989,4:40,4:50,MS,White/Wallace/Fox,ADULT,MALE,Spotlight,3.3,0.35,,751,321,20,331,173,68,69,37.95,20.6,25.75,Olive yellow,0,Chrome yellow,"0L, 3R",-,,"15 - 20L, 20 - 25R","5L, 5R",,Blue,WOrange ,1659,785,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,12,15,8,11,20,26,no,no,NA,no,No,No,Box 1. No infection
15,13-04-1989,4:55,5:05,MUD SPRINGS,White/Wallace/Fox,ADULT,MALE,Spotlight,3.4,0.4,,755,316,19,321,181,68,70,40.45,24.65,28.8,Olive yellow,0,Yellow,"2L, 3R",-,,"15 - 20L, 15 - 20R","2R, 0L",,Yellow,WOrange ,1122,716,,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,FALSE,11,8,9,7,20,15,no,no,NA,No ,No,Moderate,"Box 1. Slide #1 141.6 x 22.1. Except the 1 weird cell, no apparent infection. Diagram of cell in right margin"
16,13-04-1989,5:05,5:15,MUD SPRINGS,White/Wallace/Fox,ADULT,MALE,Spotlight,3.25,0.3,,796,351,18,337,183,65,70,39.55,22.9,25.9,Olive yellow,0,Yellow,"0L, 0R",-,,"15 - 20L, 5 - 10R","5L, 0R",,WRed,WRed,1656,1714,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,12,10,7.5,6,19.5,16,no,no,NA,"Bruise on left wing, bruse rt. air sac",No,No,Box 1. No infection. 
17,13-04-1989,5:19,5:32,MUD SPRINGS,White/Wallace/Fox,ADULT,MALE,Spotlight,3.2,0.35,,701,326,20,326,166,69,68,41.1,22.7,27.1,Olive yellow,0,Chrome yellow,"0L, 0R",-,"1L, 0R",,"1R, 0L",,Blue,WGreen,1605,1583,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,16.5,16,9,12,27.5,28,no,no,61+62,No ,No,Moderate,Box 1. No infection. Counted 586 cells in 4 random fields. Slide 61 - 17x148.3. 
18,15-04-1989,2:10,2:22,MS,White/Blakeshinleys,JUVENILE,MALE,Spotlight,2.9,0.2,2.7,692,290,19,315,163,67,62,36.5,20.4,24.2,Olive yellow,0,Bistre yellow,"1L, 1R",+,,15 - 20 each,"5L, 0R",,WGreen,Yellow,1552,1252,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,17,14,15,12,32,26,no,no,NA,-,-,Slight,Box 1. No hematozoan. 
19,15-04-1989,2:24,2:37,MS,White/Blakeshinleys,JUVENILE,MALE,Spotlight,3,0.2,2.8,718,289,14,321,169,65,64,39.3,20.8,22.2,Olive yellow,0,Yellow,0,+,,15 - 20 each,,15 - 20 along edge both,WOrange,Orange,1322,1323,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,13,14,12,13,25,27,maybe,maybe,77+78,-,-,Slight,"Box 1. Has a weird hematozoan Slide 2: 133.1 x 14, 14 x 132.1. ""Found dead 23 May 90 ~1/2 miles of lek"""
20,15-04-1989,1:54,2:08,MS,White/Blakeshinleys,ADULT,MALE,Spotlight,3.8,0.3,,760,301,20,322,175,65,63,39.4,23.2,24.95,Olive yellow,0,Bistre yellow,0,-,"5L, 0R",,0,,WGreen,Red,1551,1702,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,17,16.5,15,14.5,32,31,no,no,,-,-,High resp,"Box 1. No hematozoans, no coccidea"
21,15-04-1989,1:37,1:52,MS,White/Blakeshinleys,ADULT,MALE,Spotlight,3.3,0.3,,755,306,6,326,167,69,67,36.2,24.3,27.4,Yellow olive,0,Bistre yellow,0,-,0,,0,,WRed,White,1704,1401,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,18,16,12,12,30,28,no,no,NA,-,-,Slight,Box 1. No hematozoans. 
22,15-04-1989,2:57,3:11,MS,White/Blakeshinleys,ADULT,MALE,Spotlight,2.9,0.3,2.6,724,328,16,315,163,68,69,39.8,22.9,26.2,Olive yellow,0,Yellow,"2R, 0L",-,"1R, 0L",,0,,WOrange,White,1318,1404,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,8.5,8,9,7.6,17.5,15.5,no,no,NA,-,-,-,Box 1. No hematozoans. CALM!!
23,15-04-1989,2:39,2:53,MS,White/Blakeshinleys,ADULT,MALE,Spotlight,3.2,0.35,,719,305,20,305,164,67,69,39.5,22.9,24.8,Olive yellow,0,Bistre yellow,0,-,"3R, 0L",,"4L, 3R",,WOrange,Yellow,1314,1259,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,18,16,12,12,30,28,no,no,69,2 scabs on left air sac,-,Slight,"Slide 67 11.5 x 129.?, 2.0 x ?. Box 1. No hematozoans. NOISY! On slide 69 - counted 314 cells in 4 fields - no parasites. "
24,15-05-1989,6:47,6:57,MS,White/Nickel,ADULT,MALE,Canon net,2.5,0.4,2.1,722,331,14,328,162,68,69,40.6,22.5,26.6,Olive yellow,0,Bistre yellow,0,-,"1L, 5R",,"0L, 2R",,White,Blue,627,986,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,16.5,11,14.5,11,31.5,22,maybe,maybe,43+44+45,-,-,,"Brought into Red Butte. Missing slide? Box 3 #43 (5 infected cells), 44, 45"
25,15-05-1989,6:30,6:43,MS,White/Nickel,ADULT,MALE,Canon net,2.9,0.35,2.55,771,325,19,319,169,65,68,37.9,21.6,23.4,Yellow olive,0,Bistre yellow,0,-,0,,0,,Red,Yellow,860,1182,,TRUE,TRUE,TRUE,,,TRUE,FALSE,FALSE,FALSE,2,4,4,6,6,10,no,no,46+47+48,Bruise on both combs,,,RECAP 88. Brought into Red Butte. Box 3. No infection
26,13-04-1989,5:46,5:53,MUD SPRINGS,White/Wallace/Fox,ADULT,FEMALE,Spotlight,1.75,0.35,1.4,550,212,N/A,270,132,52,57,32.9,18.6,N/A,N/A,N/A,N/A,N/A,-,N/A,,N/A,,Red,Blue,1722,1618,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,16.5,12,16.5,9,27,21,maybe,maybe,47+48,No ,No,Moderate,Box 1. Cells w/ lots of (?) - in slide 2. Slide 1 138 x 8.3. Hematozoans. 
27,04-04-1989,7:30,7:45,MUD SPRINGS,Ornithology,ADULT,FEMALE,Canon net,1.9,0.35,,550,221,N/A,271,143,47,53,33.2,20.2,N/A,N/A,N/A,N/A,N/A,-,N/A,,N/A,,White,Green,657,1586,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,5.5,9,4.5,7,10,16,no,no,87+88,-,-,Slight,Box 2. No infection
28,04-04-1989,7:11,7:30,MUD SPRINGS,Ornithology,ADULT,FEMALE,Canon net,1.85,0.35,1.5,567,220,N/A,279,132,55,55,32.05,19.1,N/A,N/A,N/A,N/A,N/A,-,N/A,,N/A,,Red,White,1724,1445,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,11,10,10,10,21,20,no,no,89+90,-,-,Slight,Box 2. No infection
29,04-04-1989,7:13,7:31,MUD SPRINGS,Dean Clalse,ADULT,FEMALE,Canon net,1.7,0.3,1.4,431.8,190.5,NA,266.7,196.85,55.88,53.34,43.18,,N/A,N/A,N/A,N/A,N/A,+,N/A,,N/A,,Red,Green,1718,1585,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,17,15,13,13,30,28,no,no,67+68,None,None,Slight,Box #2. No infection
30,13-04-1989,5:34,5:43,MUD SPRINGS,White/Wallace/Fox,JUVENILE,FEMALE,Spotlight,1.7,0.3,,532,199,,263,139,57,57,37.3,17.95,N/A,N/A,N/A,N/A,N/A,-,N/A,,N/A,,Yellow,White,1236,1430,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,13,19,6.5,7,19.5,26,no,no,63+64,No,No,No,"Box 1. Slide 2 148.9 x 8.9, 143.4 x 9.1. No infection"
