,,,,,,,,,,,,,,,,,,,,,,,,,,Hematomas,Hematomas,Color,Color,Number,Number,WYGF Leg Band #,Cut Feathers,Collect,Labelled,Hematoma Group #,Hematomas Applied,samples collected,,samples collected,samples collected,,,,
10,1987-04-15,5:20,,SYBILLE SPRINGS,,ADULT ,MALE,,,,3.1,742,335,328,37.65,22.9,148,23.5,75,68,Yellow Olive,,Bistre yellow,,-,+,+,Orange,Blue,25,292,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,TRUE,,,,"Even color of air sacs, smooth sacs"
11,1987-04-15,4:39,,SYBILLE SPRINGS,,JUVENILE,MALE,,,,2.6,569,219,307,38.75,22.4,130,24.8,72,68,"Greenish yellow, olive yellow",,Bistre yellow,3,-,+,++,Green,Blue,345,296,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,
12,1987-04-15,5:45,,SYBILLE SPRINGS,,ADULT ,MALE,,,,2.8,710,331,308,40,21.1,127,21.95,68,65,Olive Yellow,,Bistre yellow,0,-,-,-,Orange,Purple,23,598,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,TRUE,,,,
13,1987-04-15,3:47,,SYBILLE SPRINGS,,ADULT ,MALE,,,,3,780,338,325,41.4,25.15,127,25.45,71,61,Olive Yellow,,Bistre yellow,0,+,+,-,White,Blue,417,299,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,TRUE,,,,
14,1987-04-15,4:55,,SYBILLE SPRINGS,,ADULT ,MALE,,,,3.1,721,339,321,40.4,20.7,128,22.97,72,67,Yellow Olive,,Bistre yellow,0,-,+,-,Purple,Blue,597,295,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,TRUE,,,,
15,1987-04-16,3:06,,SYBILLE SPRINGS,,ADULT ,MALE,,,,2.7,715,278,305,40.35,23.05,145,23.05,72,67,Olive Yellow,,Bistre yellow,0,-,+,+,Red,Purple,136,584,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,TRUE,,,,
16,1987-04-16,3:30,,SYBILLE SPRINGS,,ADULT ,MALE,,,,3.1,740,291,296,41.4,23.85,145,21.1,72,66,Olive Yellow,,Bistre yellow,1,-,+,-,Blue,Purple,280,583,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,TRUE,,,,Big hole in right air-sac
17,1987-04-16,3:51,,SYBILLE SPRINGS,,JUVENILE,MALE,,,,2.75,543,256,315,38.3,23.2,127,25.3,71,70,Between olive yellow and yellow-olive,,Bistre yellow,0,+,++,+,Red,White,141,416,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,TRUE,,,,
18,1987-04-16,4:09,,SYBILLE SPRINGS,,ADULT ,FEMALE,,,,1.5,537,185,261,34.3,19.95,104,,64,59,,,,,,,-,Green,White,342,459,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,TRUE,,,,
19,1987-04-16,4:24,,SYBILLE SPRINGS,,ADULT ,FEMALE,,,,1.4,521,170,259,33.6,18.2,100,,57,52,,,,,,,-,Purple,White,460,581,,TRUE,TRUE,TRUE,,,FALSE,FALSE,FALSE,FALSE,,,,RADIO 150.918
20,1987-04-16,4:35,,SYBILLE SPRINGS,,JUVENILE,FEMALE,,,,1.4,536,170,270,30.7,18.8,103,,60,58,,,,,-,,,White,White,458,457,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,TRUE,,,,
21,1987-04-17,5:46,,SYBILLE SPRINGS,,ADULT ,MALE,,,,3.1,,,,,,,,,,,,,,,,,Purple,Purple,597,295,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,P.T.O for… RECAPTURE
22,1987-04-17,5:00,,SYBILLE SPRINGS,,ADULT ,MALE,,,,3.3,,,,,,,,,,,,,,,,,Blue,Purple,280,583,,FALSE,FALSE,FALSE,,,TRUE,FALSE,TRUE,FALSE,,,,RECAPTURE
23,1987-04-17,5:15,,SYBILLE SPRINGS,,ADULT ,MALE,,,,3.3,812,307,310,37.9,20.8,131,21.9,70,72,Green,,Yellow/Green,1,-,-,-,White,White,488,482,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,TRUE,,,,
24,1987-04-17,,,SYBILLE SPRINGS,,YEARLING,MALE,,,,2.8,740,261,305,38.2,21.5,133,20.4,72,72,Yellow/Green,,Yellow,0,-,+,-,Orange,White,99,483,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,TRUE,,,,Gross Diarrhea!
25,1987-04-17,,,SYBILLE SPRINGS,,ADULT ,MALE,,,,3.1,,,,,,,,,,,,,,,,,Orange,Blue,25,292,,FALSE,FALSE,FALSE,,,TRUE,FALSE,FALSE,FALSE,,,,RECAPTURE
26,1987-04-17,7:45,,SYBILLE SPRINGS,,ADULT ,FEMALE,,,,1.9,598,200,269,30.5,17.5,99,,58,62,,,,0,-,-,-,Orange,White,84,477,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,TRUE,,,,Diarrhea! - may actually be actual dropping rather than diarrhea
27,1987-04-17,8:00,,SYBILLE SPRINGS,,ADULT ,FEMALE,,,,1.8,600,190,264,31.3,19.9,109,,58,61,,,,,-,-,-,Orange,Orange,100,86,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,TRUE,,,,No blood data (written next to tags)
