,,,,,,,,,,,,,,,,,,,,,,,,,,,Hematomas,Hematomas,,Hematomas,Color,Color,Number,Number,WYGF Leg Band #,Cut Feathers,Collect,Labelled,Hematoma Group #,Hematomas Applied,samples collected,samples collected,samples collected,samples collected,hematocrit Cells,hematocrit Cells,hematocrit Plasma,hematocrit Plasma,hematocrit Total,hematocrit Total,,,,,,,
10,14-04-1989,3:55,4:00,SYBILLE,White/Wilson/Wells,JUVENILE,MALE,Spotlight,2.75,0.35,,651,275,18,322,157,68,67,39.9,21.95,25.45,Yellow olive,0,Bistre yellow,"1L, 3R",-,"2L, 2R",,"6R, 4L",,Green,Red,1594,1703,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,18,19,16,16,34,35,no,NA,41+42,cut on left comb,No,Slight,No hematozoan. Slide 2 140.5 (Leaky chromatin ? of nuclear membrane?) x 12
11,14-04-1989,4:15,4:27,SYBILLE,White/Wilson/Wells,JUVENILE,MALE,Spotlight,2.9,0.35,,672,245,11,306,164,63,62,39.9,21.6,25.7,Olive yellow,1,Bistre yellow,,-,"5L, 3R",,"3R, 0L",,Red,Yellow,1704,1256,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,5,6,8,9,13,15,no,no,NA,Pecked at on both air sac,1 hematoma left wong from blood drawing,Slight,"No apparent hematozoans. Box1 ""Leaky chromatin"" Slide 2 140.9 x 15 ?"
12,14-04-1989,4:30,4:40,SYBILLE,White/Wilson/Wells,JUVENILE,MALE,Spotlight,3.3,0.35,,642,257,19,331,181,67,67,40.25,22.2,23.75,Olive yellow,0,Chrome yellow,"5L, 2R",-,"6L, 6R",,"3L, 2R",,Red,Orange,1707,1354,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,13.5,17,9,14,24.5,31,maybe,maybe,25+26,No,No,Slight,Loaded w/WBC. Slight infection. Slide 1 169 x 11. *Slide 2 150.5 x 11.5
13,14-04-1989,3:00,3:44,SYBILLE,White/Wilson/Wells,JUVENILE,MALE,Spotlight,2.9,0.4,,662,255,17,318,160,65,70,39.9,21.15,23.5,Olive yellow,1,Bistre yellow,0,-,,15 - 20 on each,0,,Orange,White,1355,1402,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,10,10,10.5,10,20.5,20,maybe,NA,27+28,"Bruise right air sac, abrasion on left flank",Hematoma from blood drawing left wing,High respiratory,"A few cells have (?) - malaria?? Slide 1 148.1 x 10.3, 148 x 9.9, 147.7 x 10.6. *Slide 145.9 x 13. Very light infection. "
14,14-04-1989,2:20,2:34,SYBILLE,White/Wilson/Wells,JUVENILE,MALE,Spotlight,2.9,0.35,2.65,695,281,17,319,163,67,69,40.9,20.1,25.25,Olive yellow,0,Bistre yellow,"1L, 1R",-,"20L, 10R",,"1L, 0R",,Orange,Orange,1356,1358,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,10,18,7,12,17,30,no,no,NA,No,No,Moderate handling stress,No hematozoans
15,14-04-1989,2:40,2:46,SYBILLE,White/Wilson/Wells,,,Spotlight,3.1,0.32,,,,,,,,,,,,,0,,0,-,"0L, 4R",,1R,"3 - 4 left, 1 right",Red,White,1725,1446,,,,,,,TRUE,FALSE,TRUE,FALSE,10,8,10,8,20,16,no,no,NA,Small hole in left air sac,No,Heavy respiratory stress,Scabbed hole in right air sac. 2 sores on left air sac. Box 1. No hematozoans. 
16,14-04-1989,2:35,2:40,SYBILLE,White/Wilson/Wells,,,Spotlight,3.3,0.3,3,,,,,,,,,,,,1,,"0L, 1R",-,"8L, 6R",,"0L, 1R",,Blue,Yellow,1658,1246,,,,,,,TRUE,FALSE,FALSE,FALSE,7,9,6,8,13,17,no,maybe,,No,No,Moderate stressed,"RECAP 89. Box1. 4 random fiels, 484 cells. Seems to be some small round particle surrounding cell - perhaps attracted to outer membrane? At 9x128 - misshaped cell by lump - haema? Doesn't appear to be much except surface thing + bit of an infection."
17,14-04-1989,3:30,3:40,SYBILLE,White/Wilson/Wells,ADULT,MALE,Spotlight,3.3,0.3,,722,347,18,346,176,69,68,40.5,21.95,25.4,Olive yellow,0,Yellow,"0L, 1R",-,"2L, 0R",,0,,Green,Blue,1596,1612,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,14,15,13,14.5,27,29.5,no,no,33+34,Scar on left air sac,No,Slight,Lost feathers on left flank. No hematozoans. Four random fields - 503 cells - slides # 33. No malaria. 
18,14-04-1989,4:04,4:15,SYBILLE,White/Wilson/Wells,ADULT,MALE,Spotlight,3.2,0.33,,732,309,18,327,162,65,67,38.8,20.2,23.1,Yellow olive,0,Bistre yellow,"0L, 1R",-,"0L, 4R",,"0L, 1R",,Red,Blue,1711,1625,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,13,14,11,13,24,27,no,no,31+32,No,No,Moderate,Box1. No hematozoans. I counted 4 random fields - 478 cells. Slide #32. No malaria. 
19,14-04-1989,2:49,3:00,SYBILLE,White/Wilson/Wells,ADULT,MALE,Spotlight,3.2,0.35,,758,340,20,337,182,67,68,36.6,23.05,25.2,Olive yellow,0,Bistre yellow,0,+,"1L, 0R",,"1L, 0R",,Orange,Blue,1359,1619,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,12,14,13.5,14.5,25.5,28.5,no,no,23+24,Bruise on left air sac,No,Fine,Box1. No hematozoans. Counted 4 random fields - 472 cells - did #23. No malaria. slides #23 - no malaria.  
20,16-04-1989,3:32,3:47,SS,White/Shelly,JUVENILE,MALE,Spotlight,2.65,0.35,2.3,691,270,18,320,151,64,62,37.3,22.4,25.2,Olive yellow,0,Chrome yellow,0,-,"1L, 1R",,0,,Green,White,1553,1403,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,15,16,17,17,32,33,no,no,93+94,-,Hematoma,High stress and resp,Box1. no infection. 
21,16-04-1989,3:50,4:03,SS,White/Shelly,ADULT,MALE,Spotlight,3,0.4,2.6,762,332,18,331,157,64,68,38.8,21.7,25.75,Olive yellow,0,Yellow,"1L, 0R",-,"1L, 0R",,"5L, 2R",,Yellow,Yellow,1254,12585,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,9,16.5,8,14.5,17,31,no,no,83+84,Both air sacs bruised,-,Moderate,Box1. No infection. 
22,16-04-1989,3:18,3:31,SS,White/Shelly,JUVENILE,MALE,Spotlight,2.95,0.35,,626,244,18,324,162,67,70,38.8,26.4,25.2,Olive yellow,0,Bistre yellow,0,-,"1R, 0L",,0,,White,Green,1405,1595,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,14,11,19,14,33,25,maybe,maybe,81+82,-,abrasion left elbow,Slight,Box1. Light infection
23,16-04-1989,3:07,3:14,SS,White/Shelly,,MALE,Spotlight,3,0.3,2.7,,,,,,,,,,,,0,,0,-,0,,0,,Orange,Yellow,1320,1250,,-,-,-,,,TRUE,FALSE,FALSE,FALSE,6,7,9,10,15,17,no,no,89+90,Scar on left air sac,,,RECAP 89. Box1. No infection
24,24-04-1989,6:30,6:43,SS,White/Boyce,ADULT,MALE,Canon net,2.85,0.3,2.55,767,352,18,325,165,68,67,40.7,21,23.7,Olive yellow,0,Bistre yellow,0,-,0,,"4L, 0R",,White,Orange,619,725,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,16,19.5,7,9.5,23,29,no,maybe,1+2,several scars on combs but air sac looks good,small hematoma,calm! ,RECAP 88. Box 3. Slide 2 - 5 infected cells ? 9.05 x 132 - only a few cells infected. 9.5 x 132.9. 4 random fields - slide #1 - 456 cells. No malaria. 
25,13-05-1989,6:17,6:25,SS,White/Nickel/Szumski,ADULT,MALE,Canon net,2.9,,,,,,,,,,,,,Olive yellow,0,,0,-,0,,"2R, 1L",,Orange,Yellow,1320,1250,,TRUE,TRUE,TRUE,,,TRUE,FALSE,FALSE,FALSE,9,7,8,7,17,14,maybe,maybe,41+42,healing - scabs on air sacs,,,RECAP 89. Bird brought in for blood serum - kept in avian pen. Box 3 5 cells -> 41+42 ->3 cells infected
26,16-04-1989,4:07,4:17,SS,White/Shelly,,FEMALE,Spotlight,1.65,0.4,1.25,480,179,N/A,270,133,54,55,31.2,18.3,N/A,N/A,N/A,N/A,N/A,-,N/A,,N/A,,Red,Yellow,1709,1253,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,10.5,12,11,9,30.5,21,no,no,85+86,-,-,Very calm,Box 1. No infection. 
27,25-04-1989,1:57,2:12,SS,White/Peterson,JUVENILE,FEMALE,Spotlight,1.7,0.3,1.4,502,161,N/A,263,127,58,56,20.05,19.8,N/A,N/A,N/A,N/A,N/A,-,N/A,,N/A,,Orange,Yellow,1360,1229,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,9,NA,7.5,NA,16.5,NA,no,no,3+4,Skin torn off upper left chest and cut. Looks like predator had hold of her leg. ,-,Slight,Several tail feathers missing and remaining are broken. Box 3. No infection. 
