"binder_pdf_scan_page","year","month","day","time_search_start_24h","time_search_end_24h","lek_name","observer","age","sex","capture_technique","left_tag_color","left_tag_number","left_tag_code","right_tag_color","right_tag_number","right_tag_code","wygf_leg_band","weight_bird_and_bag_g","weight_bag_g","weight_bird_g","total_length_mm","tail_length_mm","num_tail_feathers","wing_length_mm","keel_length_mm","tarsus_length_mm","toe_length_mm","bill_length_mm","bill_depth_mm","comb_length_mm","comb_color","num_lice_on_comb","air_sac_color","num_lice_on_air_sac_left","num_lice_on_air_sac_right","total_num_lice_on_air_sacs","lice_back_of_head","num_hematomas_on_air_sac_left","num_hematomas_on_air_sac_right","total_num_hematomas_on_air_sacs","hematomas_air_sacs_comments","num_hematomas_on_comb_left","num_hematomas_on_comb_right","total_num_hematomas_on_combs","hematomas_comb_comments","cut_feathers","collect","labelled","hematoma_group","hematomas_applied","samples_collected_blood","samples_collected_ectoparasites","samples_collected_fecal","samples_collected_cecal","hematocrit_cells_1","hematocrit_cells_2","hematocrit_plasma_1","hematocrit_plasma_2","hematocrit_total_1","hematocrit_total_2","blood_malaria","blood_haema","slide_numer","existing_injuries","handling_injury","stresses_while_handling_describe","comments"
"7","1989","3","30","3:23","3:39","long_lake","White/Brokaw","adult","male","spotlight","yellow","1116","Y1116","yellow","1118","Y1118",NA,"3.6",NA,NA,"802","369","17","347","146","67","77","40.9","23.4","27","olive yellow","0","bistre yellow",NA,NA,NA,"no",4,0,4,NA,1,0,1,NA,"yes","yes","yes",NA,NA,"yes","no","no","no","15","14","15","14","30","28","no",NA,"23+24","no","no","Moderate","Tail feathers curved up"
"8","1989","3","30","4:31","4:49","long_lake","White/Brokaw","adult","male","spotlight","yellow","1117","Y1117","white","659","W659",NA,"3.1","0.3",2.8,"718","360","12","328","149","67","68","41.7","22.65","25.5","olive yellow","0","bistre yellow",0,0,0,"no",22,0,22,NA,12,0,12,NA,"yes","yes","yes",NA,NA,"yes","no","no","no","15","9","16","12","31","21","no",NA,"31+32","no","no","no",NA
"9","1989","3","30","2:52","3:07","long_lake","White/Brokaw","adult","male","spotlight","blue","948","B948","yellow","1142","Y1142",NA,"3.1","0.3",2.8,"700","305","13","339","164","64","69","37.8","20.6","23.8","olive yellow","0","chrome yellow",0,0,0,"no",0,4,4,NA,NA,NA,NA,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","15","14","14","13","29","27","no",NA,"29+30","no","no","Minimal",NA
"10","1989","3","30","2:10","2:29","long_lake","White/Brokaw","adult","male","spotlight","orange","738","O738","red","848","R848",NA,"3.3","0.4",2.9,"705","305","18","315","157","68","62","41.9","23.75","27.75","bistre yellow","0","bistre yellow",0,0,0,"no",NA,NA,NA,NA,0,0,0,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","16","11","12","8","28","19","no",NA,"33+34","no","no","Moderate - resp","Beautiful large combs"
"11","1989","3","30","3:10","3:22","long_lake","White/Brokaw","juven","male","spotlight","blue","950","B950","white","658","W658",NA,"3","0.3",2.7,"721","305","17","332","150","62","60","40.7","21.8","24.55","bistre yellow","0","yellow",0,0,0,"no",0,0,0,NA,0,0,0,NA,"no","no","no",NA,NA,"no","no","no","no",NA,NA,NA,NA,NA,"nA",NA,NA,NA,"Small cut on ball of left air sac -  scabbing over","no","no","RECAP 89"
"12","1989","4","1","4:05","4:23","long_lake","White/Hutchinson","adult","male","spotlight","blue","1601","B1601","blue","1602","B1602",NA,"3.35","0.3",3.05,"742","333","20","325","159","65","68","40.25","23","26.55","olive yellow","0","bistre yellow",0,0,0,"no",0,5,5,NA,0,3,3,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","10","11","12","12","22","23",NA,NA,"63+64","no","no","Moderate","Slide # 2 ? 9.7 x 147; 9.8 x 140.8, #1 - 7.8 x 172.4; 172.5 x 9.97"
"13","1989","4","1","3:19","3:40","long_lake","White/Huchinson","adult","male","spotlight","yellow",NA,"Y","green","381","G381",NA,"3.2","0.3",2.9,"766","331","19","329","154","64","71","37.6","21.5","26.9","yellow olive","0","yellow",0,0,0,"no",0,0,0,NA,0,0,0,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","3","3","4","9","7","12","no",NA,NA,"None","no","Moderate - breathing","Beautiful bird!"
"14","1989","4","1","3:45","4:00","long_lake","White/Hutchinson","adult","male","spotlight","white","672","W672","yellow","1234","Y1234",NA,"3.4","0.3",3.1,"721","380","17","318","157","62","68","40.2","22.1","28.35","olive yellow","0","bistre yellow",0,1,1,"no",6,10,16,NA,0,0,0,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","15","16.5","13","15","28","31.5",NA,NA,NA,"Bruise rt air sac","no","Moderate breathing","No hematograms?"
"15","1989","4","2","2:08","2:23","long_lake","White/Baunclier","adult","male",NA,"green","1576","G1576","white","1440","W1440",NA,"3.2","0.4",2.8,"728","336","15","307","141","62","67","42","22.3","28.2","olive yellow","0","yellow",0,0,0,"no",NA,NA,NA,"15 - 20 both",2,0,2,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","12","8.5","11.5","9","23.5","17.5","no",NA,"39+40","None","None","High respir but flew at release","FIGHTER!!"
"16","1989","4","2","3:52","4:03","long_lake","White/Baunclier","adult","male","spotlight","orange","1317","O1317","white","1439","W1439",NA,"3.25",NA,NA,"752","352","18","330","175","68","68","40.2","24.1","24.2","bistre yellow","0","yellow",0,0,0,"no",NA,NA,NA,"5 - 10 each",6,0,6,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","10","12","6.5","8","16.5","20","no",NA,"35+36","no","no","Moderate",NA
"17","1989","4","2","4:33","4:46","long_lake","White/Baunclier","adult","male","spotlight","green","1579","G1579","blue","1651","B1651",NA,"3.4","0.4",3,"736","362","18","321","160","68","68","42.65","23.8","28.3","olive yellow","0","bistre yellow",0,0,0,"no",0,0,0,NA,0,0,0,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","10","11","9","11","19","22","no",NA,NA,"No","no","no","No blood parasites "
"18","1989","4","2","4:53","5:03","long_lake","White/Baunclier","adult","male","spotlight","white","1441","W1441","red","844","R844",NA,"3","0.3",2.7,"718","342","18","320","138","68","71","40.2","22.9","25.6","olive yellow","0","bistre yellow",1,1,2,"no",NA,NA,NA,"15-20 each",0,0,0,NA,"yes","yes","yes",NA,NA,"yes","no","no","no","14",NA,"16",NA,"30",NA,"no",NA,"51+52","Small scab left air sac","no","no","Values not incorrect, math is wrong on datasheet - values with incorrect math removed and replaced with NA. "
"19","1989","4","2","1:49","2:05","long_lake","White/Baunclier","adult","male","spotlight","red","840","R840","red","839","R839",NA,"3.45","0.5",2.95,"747","331","16","335","178","71","73","40.4","21.7","26.4","olive yellow","0","yellow",0,0,0,"no",NA,NA,NA,"2L, 0R",0,0,0,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","10","14","9","13","19","27","no",NA,"43+44","None","None","Slight","Recap RG (0883) + YG (0381)"
"20","1989","4","2","4:06","4:17","long_lake","White/Baunclier","adult","male","spotlight","yellow","163","Y163","red","865","R865",NA,"2.5","0.4",2.1,"727","323","18","324","167","70","68","40.25","23.1","25.5","bistre yellow","0","chrome yellow",0,0,0,"no",0,0,0,NA,0,0,0,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","16","13","16","14","32","27","no",NA,"41+42","None","no","Moderate","RECAP 88"
"21","1989","4","2","4:19","4:30","long_lake","White/Baunclier","juven","male","spotlight","orange","1321","O1321","blue","1652","B1652",NA,"2.85","0.35",2.5,"654","260","17","302","162","67","66","41.15","20.55","25","olive yellow","0","bistre yellow",2,0,2,"no",NA,NA,NA,"Several on balls",NA,NA,NA,"Both on whole upper edge","yes","yes","yes",NA,NA,"yes","no","yes","no","3",NA,"13",NA,"16",NA,"no",NA,NA,"no","no","Moderate","NASTY!"
"22","1989","4","2","5:05","5:17","long_lake","White/Baunclier","adult","male","spotlight","green","1066","G1066","orange","705","O705",NA,"3.2","0.4",2.8,"703","344","17","341","143","67","65","40.4","21.5","26","yellow olive","0","chrome yellow",0,0,0,"no",1,1,2,NA,0,0,0,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","19","13","15","10","34","23","yes",NA,"53+54","no","no","Slight","No hematogram, Slide 15 x 139, 19.2 x 138.5, Very light infection"
"23","1989","4","2","5:17","5:31","long_lake","White/Baunclier","adult","male","spotlight","red","843","R843","blue","1611","B1611",NA,"3.3","0.4",2.9,"761","319","19","355","147","69","65","39.8","27.2","25.1","olive yellow","0","bistre yellow",0,0,0,"no",5,5,10,NA,NA,NA,NA,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","10","11","9","10","19","21","no",NA,NA,"Tumor on right comb, bruise left air sac","no","no",NA
"24","1989","4","17","7:32",NA,"long_lake","White/Burton/et...",NA,"male","cannon net","blue","950","B950","white","658","W658",NA,"3.1","0.4",2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","bistre yellow",0,0,0,"no",0,0,0,NA,0,1,1,"RIght - 1 small hematoma","no","no","no",NA,NA,"yes","no","no","no","15","15","8","6","23","21","no",NA,"79+80",NA,NA,NA,"Measurements taken. Recapture 89. "
"25","1989","4","18","4:07/3:34","3:46/4:14","long_lake","White/Carten","juven","male","spotlight","red white","1406","RW1406","white","1409","W1409",NA,"2.8","0.3",2.5,"715","275","16","333","156","69","70","36.8","21.4","25.12","olive yellow","0","yellow",0,0,0,"no",NA,NA,NA,"5-10 each",NA,NA,NA,"surround upper edge","yes","yes","yes",NA,NA,"yes","no","yes","no","5",NA,"5",NA,"10",NA,"no",NA,"87+88","2 scabs, 1 bruise left air sac","Hematoma","High resp","Put back in bag at 3:46 - really stressed. Needed to cool. "
"26","1989","4","18","3:48","4:00","long_lake","White/Carten","juven","male","spotlight","red yellow","1261","RY1261","yellow","1262","Y1262",NA,"2.9","0.4",2.5,"699","250","19","305","172","69","70","41.2","26.3","25.8","olive yellow","0","yellow",1,0,1,"yes",1,0,1,NA,1,1,2,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","11","13","9","10.5","20","23.5","no",NA,"91+92","None","no","Moderate - hardy","Tags - red behind left. "
"27","1989","4","22","6:20","6:36","long_lake","White, Heller, Kline, Hobart, Cok","adult","male","cannon net","red blue","1660","RB1660","blue","1661","B1661",NA,"3.1","0.35",2.75,"777","312","18","322","153","70","68","41.7","22.1","25.3","olive yellow","0","bistre yellow",0,0,0,"no",0,0,0,NA,2,5,7,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","8.5","7","17.5","14","26","24","no",NA,"9+10","None","Hematoma from blood draw","Moderate respiratory","Air bubble ? 10.5 x 150.1, 150.1 x 10.95"
"28","1989","4","25","5:08","5:21","long_lake","White/Peterson","juven","male","spotlight","red orange","1353","RO1353","orange","1362","O1362",NA,"2.7","0.4",2.3,"681","262","16","291","165","66","64","37.2","21.5","27.7","olive yellow","0","bistre yellow",0,0,0,"no",0,0,0,NA,5,5,10,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","2",NA,"13",NA,"15",NA,"no",NA,"7+8","Healing cut on left air sac","no","Heavy - resp","Slide 2 162.2 x 5, only (?) seen, blood clotted, sample 2 of hemocrit"
"29","1989","4","25","4:51","5:05","long_lake","White/Peterson","juven","male","spotlight","red green","1555","RG1555","green","1556","G1556",NA,"2.6","0.35",2.25,"678","271","17","310","158","69","68","35.8","21.9","24.8","olive yellow","0","bistre yellow",0,0,0,"no",5,0,5,NA,1,0,1,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","13.5","16","10","11","23.5","27","no",NA,"5+6","Several broken wing feathers","no",NA,"BASTARD"
"30","1989","4","27","4:45","5:01","long_lake","West, White, Gracie","adult","male","spotlight","red white","1429","RW1429","red","1705","R1705",NA,"3.2","0.3",2.9,"731","287","20","305","163","67","65","39.2","22.9","24.9","olive yellow","0","bistre yellow",0,0,0,"no",0,2,2,NA,0,2,2,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","19","15","6","11","26","26","yes",NA,"21+22","Healing scab on left air sac","Hematoma from blood draw","Slight","Box 3 #21 (3 infected cells)+22 (1 infected cell), appears to have a low level infection of malaria"
"31","1989","4","29","2:56","3:08","long_lake","White/Szumski/Nickel/Leumgali","juven","male","spotlight","red green","1557","RG1557","white","1449","W1449",NA,"2.9","0.35",2.55,"682","255","19","302","176","68","71","38.6","21.65","26.25","olive yellow","0","bistre yellow",NA,NA,NA,"no",3,2,5,NA,3,5,8,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","17","21","12","13","29","34","no",NA,"31+32","Bruise on L air sac",NA,NA,NA
"32","1989","4","29","4:15","4:30","long_lake","Szumski","juven","male","spotlight","red yellow","1264","RY1264","blue","1622","B1622",NA,"2.55","0.35",2.2,"661","242","4","323","146","63","68","37.7","22.5","25.2","olive yellow","0","yellow",NA,NA,NA,"no",NA,NA,NA,NA,5,2,7,NA,"yes","yes","yes",NA,NA,"yes","no","yes","yes","12","14","9","11","21","25","no",NA,"27+28","Healed scab on L air sac bruise on right, cut across middle back, gash behind left leg",NA,"High stress due to injuries",NA
"33","1989","4","29","3:28","3:36","long_lake",NA,"adult","male","spotlight","green","1066","G1066","orange","705","O705",NA,"2.9","0.4",2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,1,1,2,"no",2,1,3,NA,1,0,1,NA,"no","no","no",NA,NA,"yes","yes","yes","no","19","17","15","15","34","32","no",NA,"19+20",NA,NA,NA,"Recap ??"
"34","1989","4","29","3:15","3:25","long_lake",NA,"adult","male","spotlight","white","441","W441","purple","552","P552",NA,"3.15","0.3",2.85,"735","321","18","339","182","70","72","38.1","21.8","24.2","olive yellow","0","bistre yellow",0,0,0,"no",1,3,4,NA,0,1,1,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","12","17.5","8","11.5","20","29","no",NA,"17+18","Bruise L air sac",NA,NA,"Recap 68"
"35","1989","4","29","4:00","4:11","long_lake","Szumski","adult","male","spotlight","red orange","1663","RO1663","blue","1378","B1378",NA,"3.05","0.3",2.75,"738","331","19","313","173","70","72","39.9","22.9","25.1","olive yellow","0","bistre yellow",NA,NA,NA,"no",6,2,8,NA,2,0,2,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","17","19","12","14","29","33","no",NA,"37+38","Bruise , scab right air sac",NA,NA,"No apparent infection? Slide 1: 16 x 127.1"
"36","1989","4","29","3:40","3:59","long_lake",NA,"adult","male","spotlight","red white","1437","RW1437","yellow","1265","Y1265",NA,"3.2","0.4",2.8,"772","344","20","322","162","71","68","41.5","23.05","27.4","olive yellow",NA,"bistre yellow",NA,NA,NA,"no",6,2,8,NA,2,4,6,NA,"yes","yes","no",NA,NA,"yes","no","yes","no","14","16.5","12","15.5","26","30","yes",NA,"23+24","Abrasion on R air sac, healed scabs on L air sac",NA,NA,"Light malarial infection. Slide 2: 15 x 155; 15 x 154.2; 15 x 160; 15 x 162.1. Not found again"
"37","1989","4","1","4:27",NA,"long_lake","White/Hutchinson","adult","female","spotlight","white","676","W676","orange","719","O719",NA,"2","0.3",1.7,"568","223",NA,"275","128","54","55","34.1","21.05",NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","17","10","15","11","32","21","no",NA,"73+74","None","no","no",NA
"38","1989","3","23","3:51","4:07","long_lake","White","adult","male","spotlight","blue","950","B950","white","658","W658",NA,"3.25","0.35",2.9,"756","334","17","336","149","65","69","40.95","23.15","23.6","olive yellow","0","chrome yellow",0,0,0,"no",0,0,0,NA,0,0,0,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","14","19","11","9","25","28","no",NA,"19+20","None","None","Minimal",NA
"1","1989","3","26","2:51","3:13","north","White/Wendatt","adult","male","spotlight","white","660","W660","yellow","1113","Y1113",NA,"3.1","0.35",2.75,"740","336","20","327","182","70","74","39.75","21.5","24.5","olive yellow","0","chrome yellow",NA,NA,NA,"no",NA,NA,NA,NA,0,0,0,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","11",NA,"7",NA,"18",NA,NA,NA,NA,"None",NA,"Very stressed - heavy breathing","Slide 21 11.5 x 142.5. Respiratory distress - very uptight bird. Put outside at 3:02 to calm down. Brought back in at 03. "
"2","1989","3","27","3:30","3:50","north","White/Smith","adult","male","spotlight","yellow","1115","Y1115","red","879","R879",NA,"3.3","0.3",3,"721","325","14","332","161","65","68","39.25","29.65","25.4","bistre yellow","0","yellow",0,0,0,"no",0,0,0,NA,0,0,0,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","5","4","13","14","18","18",NA,NA,NA,"None","None","Slight - closed eyes, heavy breathing at very end",NA
"3","1989","3","27","4:23","4:39","north","White/Smith","adult","male","spotlight","orange","790","O790","blue","944","B944",NA,"3.2","0.3",2.9,"731","326","18","328","142","69","71","41.6","21","24.2","olive yellow","0","olive yellow",NA,NA,NA,"no",0,0,0,NA,0,0,0,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","12","11","5","7","17","18",NA,NA,NA,"None","None","Slight",NA
"4","1989","4","7","3:45","4:01","north","White/Burton","adult","male","spotlight","red","1715","R1715","green","1598","G1598",NA,"3.2","0.3",2.9,"726","322","17","307","187","64","65","36.6","21.9","25.5","yellow olive","0","bistre yellow",0,0,0,"no",NA,NA,NA,"Some from feathers",0,0,0,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","15",NA,"14",NA,"29",NA,NA,NA,NA,"Scab on rt comb, large scabs on each air sac and some smaller, some bruising",NA,NA,"#2 12.5 x 168.9, 9.9 x 170.1. Attempted to collected sperm sample. Appears to 3 (?) - alongside an oblong illustration of what appears to be an eye or air sac. Master cock??"
"5","1989","4","21","7:39","7:56","north","White/Wagner","juven","male","canon net","yellow","1251","Y1251","yellow","1260","Y1260",NA,"2.7","0.35",2.35,"682","231","20","321","160","68","69","37.2","21","23.9","chrome yellow","0","bistre yellow",0,0,0,"no",0,0,0,NA,NA,NA,NA,"Upper edge on both, tons of hematomas","yes","yes","yes",NA,NA,"yes","no","yes","no","16","18","9","9","25","29",NA,NA,NA,NA,NA,"Moderate resp",NA
"6","1989","4","30","2:28","2:53","north","White/Prigges/True/Youmans","juven","male","spotlight","green","1560","G1560","blue","1620","B1620",NA,"2.8","0.3",2.5,"711","275","13","332","162","70","73","40.3","21.75","25.3","olive yellow","no","yellow",0,0,0,"no",9,9,18,NA,3,1,4,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","18","15","12","10","30","25",NA,NA,NA,"Some tail feathers broken",NA,NA,NA
"7","1989","4","30","3:11","3:18","north","White/True/Prigges/Youmans",NA,"male","spotlight","white","660","W660","yellow","1113","Y1113",NA,"3","0.3",2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"olive yellow","0","bistre yellow",0,0,0,"no",0,0,0,NA,0,0,0,NA,"no","no","no",NA,NA,"yes","no","yes","no","8","8","6","7","14","15",NA,NA,NA,"Bruise rt airsac, cut underside rt wing, probably from handling ",NA,NA,"RECAP 89"
"8","1989","4","30","2:56","3:08","north","White/Driggers/True/Youmans","adult","male","spotlight","red","1752","R1752","blue","1624","B1624",NA,"3.7","0.38",3.32,"776","325","19","39.5","157","66","68","39.3","25.3","28.1","olive yellow","0","yellow",0,0,0,"no",10,13,23,NA,0,0,0,NA,"yes","yes","no",NA,NA,"yes","no","yes","no","16","21","11","15","27","36","yes",NA,NA,"Missing keel/base feathers",NA,NA,"Slide box 3 #2 6.95 x 172.1. Appears to be other forms of parasites - mostly malaria ?? Haemoproteus?? #2 19 x 173.8. Drawing of eye or air sac in right margin of page. In reference to bill length, ""Jen 2006 notes that this is exceptionally long"". "
"9","1989","4","30","3:20","3:32","north","White/Driggers/True/Youmans","adult","female","spotlight","blue","1603","B1603","blue","1604","B1604",NA,"1.9","0.4",1.5,"517","181",NA,"271","142","54","56","37.1","19.5",NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","no",NA,NA,"yes","no","yes","no","19","16","16","11","35","37",NA,NA,NA,"Lost all feathers from left flank",NA,NA,NA
"10","1989","4","7","4:04","4:15","north","White/Burton","adult","female","spotlight","yellow","1240","Y1240","yellow","1244","Y1244",NA,"1.95","0.35",1.6,"542","241",NA,"255","119","54","55","32.5","18.6",NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","12","15.5","11","14","23","29.5","no",NA,NA,NA,NA,NA,"No malaria but high WBC especially eosinphils. Age uncertain"
"1","1989","4","22","6:52","7:05","viewpoint","White/Salloyd/Koeppen/Paslifan","adult","male",NA,"blue","1673","B1673","yellow","1258","Y1258",NA,"3.05","0.3",2.75,"748","327","20","325","141","68","68","40","20.75","25.5","olive yellow","0","bistre yellow",0,0,0,"no",0,2,2,NA,5,3,8,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","15","16","19","12","26","28","no",NA,"11+12","2 scabs left air sac",NA,"Moderate","Found dead 22 May 89, Eagle kill"
"2","1989","4","22","6:38","6:50","viewpoint","White/Salloyd/Koeppen/Paslifan","adult","male","canon net","white","1510","W1510","red","1701","R1701",NA,"3","0.35",2.65,"777","346","19","323","164","66","67","40.9","21.95","25.3","yellow olive","0","bistre yellow",0,0,0,"no",0,1,1,NA,0,1,1,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","14","10","9","7","23","17","no",NA,"13+14","Scab on R air sac; 2 scars on L air sac","Hematoma","Slight",NA
"3","1989","4","22","6:21","6:34","viewpoint",NA,"adult","male","canon net","orange","1361","O1361","blue","1672","B1672",NA,"3.1","0.35",2.75,"776","331","17","307","152","67","65","40.6","24.3","25.5","olive yellow","0","bistre yellow",0,0,0,"no",0,2,2,NA,2,6,8,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","13","18","4","6","17","24","no",NA,"15+16","Fresh cut center chest","Hematoma from blood draw","High respiratory",NA
