,,,,,,,,,,,,,,,,,,,,,,,,,,,Hematomas,Hematomas,,Hematomas,Color,Color,Number,Number,WYGF Leg Band #,Cut Feathers,Collect,Labelled,Hematoma Group #,Hematomas Applied,samples collected,samples collected,samples collected,samples collected,hematocrit Cells,hematocrit Cells,hematocrit Plasma,hematocrit Plasma,hematocrit Total,hematocrit Total,,,,,,,
16,02-04-1989,3:52,4:03,LONG LAKE,White/Baunclier,ADULT,MALE,Spotlight,3.25,,,752,352,18,330,175,68,68,40.2,24.1,24.2,Bistre yellow,0,Yellow,0,-,,5 - 10 each,"6L, 0R",,Orange,White,1317,1439,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,10,12,6.5,8,16.5,20,no,,35+36,-,-,Moderate,
17,02-04-1989,4:33,4:46,LL,White/Baunclier,ADULT,MALE,Spotlight,3.4,0.4,3,736,362,18,321,160,68,68,42.65,23.8,28.3,Olive yellow,0,Bistre yellow,0,-,0,,0,,Green,Blue,1579,1651,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,10,11,9,11,19,22,no,,NA,No,-,-,No blood parasites 
18,02-04-1989,4:53,5:03,LL,White/Baunclier,ADULT,MALE,Spotlight,3,0.3,2.7,718,342,18,320,138,68,71,40.2,22.9,25.6,Olive yellow,0,Bistre yellow,"1R, 1L",-,,15-20 each,0,,White,Red,1441,844,,TRUE,TRUE,TRUE,,,TRUE,FALSE,FALSE,FALSE,14,NA,16,NA,30,NA,no,,51+52,Small scab left air sac,-,-,"Values not incorrect, math is wrong on datasheet - values with incorrect math removed and replaced with NA. "
19,02-04-1989,1:49,2:05,LONG LAKE,White/Baunclier,ADULT,MALE,Spotlight,3.45,0.5,2.95,747,331,16,335,178,71,73,40.4,21.7,26.4,Olive yellow,0,Yellow,0,-,,"2L, 0R",0,,Red,Red,840,839,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,10,14,9,13,19,27,no,,43+44,None,None,Slight,Recap RG (0883) + YG (0381)
20,02-04-1989,4:06,4:17,LL,White/Baunclier,ADULT,MALE,Spotlight,2.5,0.4,2.1,727,323,18,324,167,70,68,40.25,23.1,25.5,Bistre yellow,0,Chrome yellow,0,-,0,,0,,Yellow,Red,163,865,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,16,13,16,14,32,27,no,,41+42,None,-,Moderate,RECAP 88
21,02-04-1989,4:19,4:30,LL,White/Baunclier,JUVENILE,MALE,Spotlight,2.85,0.35,2.5,654,260,17,302,162,67,66,41.15,20.55,25,Olive yellow,0,Bistre yellow,"2L, 0R",-,,Several on balls,NA,Both on whole upper edge,Orange,Blue,1321,1652,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,3,NA,13,NA,16,NA,no,,NA,-,-,Moderate,NASTY!
22,02-04-1989,5:05,5:17,LONG LAKE,White/Baunclier,ADULT,MALE,Spotlight,3.2,0.4,2.8,703,344,17,341,143,67,65,40.4,21.5,26,Yellow olive,0,Chrome yellow,0,-,"1L, 1R",,0,,Green,Orange,1066,705,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,19,13,15,10,34,23,yes,,53+54,-,-,Slight,"No hematogram, Slide 15 x 139, 19.2 x 138.5, Very light infection"
23,02-04-1989,5:17,5:31,LONG LAKE,White/Baunclier,ADULT,MALE,Spotlight,3.3,0.4,2.9,761,319,19,355,147,69,65,39.8,27.2,25.1,Olive yellow,0,Bistre yellow,0,-,"5L, 5R",,NA,,Red,Blue,843,1611,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,10,11,9,10,19,21,no,,NA,"Tumor on right comb, bruise left air sac",-,-,
24,17-04-1989,7:32,,LL,White/Burton/et...,NA,MALE,Cannon net,3.1,0.4,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Bistre yellow,0,-,0,,"0L, 1R",RIght - 1 small hematoma,Blue,White,950,658,,FALSE,FALSE,FALSE,,,TRUE,FALSE,FALSE,FALSE,15,15,8,6,23,21,no,,79+80,,,,Measurements taken. Recapture 89. 
25,18-04-1989,4:07/3:34,3:46/4:14,LONG LAKE,White/Carten,JUVENILE,MALE,Spotlight,2.8,0.3,2.5,715,275,16,333,156,69,70,36.8,21.4,25.12,Olive yellow,0,Yellow,0,-,,5-10 each,,surround upper edge,RWhite,White,1406,1409,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,5,NA,5,NA,10,NA,no,,87+88,"2 scabs, 1 bruise left air sac",Hematoma,High resp,Put back in bag at 3:46 - really stressed. Needed to cool. 
26,18-04-1989,3:48,4:00,LL,White/Carten,JUVENILE,MALE,Spotlight,2.9,0.4,2.5,699,250,19,305,172,69,70,41.2,26.3,25.8,Olive yellow,0,Yellow,"1L, 0R",+,"1L, 0R",,"1L, 1R",,RYellow,Yellow,1261,1262,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,11,13,9,10.5,20,23.5,no,,91+92,None,-,Moderate - hardy,Tags - red behind left. 
27,22-04-1989,6:20,6:36,LL,"White, Heller, Kline, Hobart, Cok",ADULT,MALE,Cannon net,3.1,0.35,,777,312,18,322,153,70,68,41.7,22.1,25.3,Olive yellow,0,Bistre yellow,0,-,0,,"2L, 5R",,RBlue,Blue,1660,1661,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,8.5,7,17.5,14,26,24,no,,9+10,None,Hematoma from blood draw,Moderate respiratory,"Air bubble ? 10.5 x 150.1, 150.1 x 10.95"
28,25-04-1989,5:08,5:21,LL,White/Peterson,JUVENILE,MALE,Spotlight,2.7,0.4,2.3,681,262,16,291,165,66,64,37.2,21.5,27.7,Olive yellow,0,Bistre yellow,0,-,0,,"5L, 5R",,Red Orange,Orange,1353,1362,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,2,NA,13,NA,15,NA,no,,7+8,Healing cut on left air sac,-,Heavy - resp,"Slide 2 162.2 x 5, only (?) seen, blood clotted, sample 2 of hemocrit"
29,25-04-1989,4:51,5:05,LL,White/Peterson,JUVENILE,MALE,Spotlight,2.6,0.35,2.25,678,271,17,310,158,69,68,35.8,21.9,24.8,Olive yellow,0,Bistre yellow,0,-,"5L, 0R",,"1L, 0R",,RGreen,Green,1555,1556,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,13.5,16,10,11,23.5,27,no,,5+6,Several broken wing feathers,-,,BASTARD
30,27-04-1989,4:45,5:01,LL,"West, White, Gracie",ADULT,MALE,Spotlight,3.2,0.3,,731,287,20,305,163,67,65,39.2,22.9,24.9,Olive yellow,0,Bistre yellow,0,-,"0L, 2R",,"0L, 2R",,RWhite,Red,1429,1705,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,19,15,6,11,26,26,yes,,21+22,Healing scab on left air sac,Hematoma from blood draw,Slight,"Box 3 #21 (3 infected cells)+22 (1 infected cell), appears to have a low level infection of malaria"
31,29-04-1989,2:56,3:08,LL,White/Szumski/Nickel/Leumgali,JUVENILE,MALE,Spotlight,2.9,0.35,,682,255,19,302,176,68,71,38.6,21.65,26.25,Olive yellow,0,Bistre yellow,0R,-,"3L, 2R",,"3L, 5R",,RGreen,White,1557,1449,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,17,21,12,13,29,34,no,,31+32,Bruise on L air sac,,,
32,29-04-1989,4:15,4:30,LL,Szumski,JUVENILE,MALE,Spotlight,2.55,0.35,,661,242,4,323,146,63,68,37.7,22.5,25.2,Olive yellow,0,Yellow,-,-,-,,"5L, 2R",,RYellow,Blue,1264,1622,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,TRUE,12,14,9,11,21,25,no,,27+28,"Healed scab on L air sac bruise on right, cut across middle back, gash behind left leg",,High stress due to injuries,
33,29-04-1989,3:28,3:36,LL,,ADULT,MALE,Spotlight,2.9,0.4,,,,,,,,,,,,,0,,"1L, 1R",-,"2L, 1R",,"1L, 0R",,Green,Orange,1066,705,,FALSE,FALSE,FALSE,,,TRUE,TRUE,TRUE,FALSE,19,17,15,15,34,32,no,,19+20,,,,Recap ??
34,29-04-1989,3:15,3:25,LL,,ADULT,MALE,Spotlight,3.15,0.3,,735,321,18,339,182,70,72,38.1,21.8,24.2,Olive yellow,0,Bistre yellow,0,-,"1L, 3R",,"1R, 0L",,White,Purple,441,552,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,12,17.5,8,11.5,20,29,no,,17+18,Bruise L air sac,,,Recap 68
35,29-04-1989,4:00,4:11,LL,Szumski,ADULT,MALE,Spotlight,3.05,0.3,,738,331,19,313,173,70,72,39.9,22.9,25.1,Olive yellow,0,Bistre yellow,,-,"6L, 2R",,"2L, 0R",,ROrange,Blue,1663,1378,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,17,19,12,14,29,33,no,,37+38,"Bruise , scab right air sac",,,No apparent infection? Slide 1: 16 x 127.1
36,29-04-1989,3:40,3:59,LL,,ADULT,MALE,Spotlight,3.2,0.4,,772,344,20,322,162,71,68,41.5,23.05,27.4,Olive yellow,,Bistre yellow,,-,"6L, 2R",,"2L, 4R",,RWhite,Yellow,1437,1265,,TRUE,TRUE,FALSE,,,TRUE,FALSE,TRUE,FALSE,14,16.5,12,15.5,26,30,yes,,23+24,"Abrasion on R air sac, healed scabs on L air sac",,,Light malarial infection. Slide 2: 15 x 155; 15 x 154.2; 15 x 160; 15 x 162.1. Not found again
37,01-04-1989,4:27,,LONG LAKE,White/Hutchinson,ADULT,FEMALE,Spotlight,2,0.3,1.7,568,223,N/A,275,128,54,55,34.1,21.05,N/A,N/A,NA,N/A,NA,-,NA,,NA,,White,Orange,676,719,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,17,10,15,11,32,21,no,,73+74,None,-,-,
38,23-03-1989,3:51,4:07,LONG LAKE,White,ADULT,MALE,Spotlight,3.25,0.35,2.9,756,334,17,336,149,65,69,40.95,23.15,23.6,Olive yellow,0,Chrome yellow,0,-,0,,0,,Blue,White,950,658,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,14,19,11,9,25,28,no,,19+20,None,None,Minimal,
