weight_bird_kg,"Numerical, kilograms",Weight of the grouse. ,
total_length_mm,"Numerical, milimetres ",Total length of the grouse from beak to tail. ,
tail_length_mm,"Numerical, milimetres ",Length of grouse tail. ,
num_tail_feathers,"Numerical, count",Number of tail feathers on grouse. ,Typically not counted for females. 
head_length_mm,"Numerical, milimetres ",Length of grouse head. ,
wing_length_mm,"Numerical, milimetres ",Length of (left or right) grouse wing. ,Typically only one wing was measured. 
bill_length_mm,"Numerical, milimetres ",Length of grouse bill. ,
bill_depth_mm,"Numerical, milimetres ",Depth of bill. ,
keel_length_mm,"Numerical, milimetres ",Length of grouse keel. ,
comb_length_mm,"Numerical, milimetres ",Length of grouse comb. ,
tarsus_length_mm,"Numerical, milimetres ",Length of grouse tarsus. ,
toe_length_mm,"Numerical, milimetres ",Length of grouse toe. ,
air_sac_colour,Character string,"Colour of grouse air sacs, identified using a philatelic colour strip. ",
comb_colour,Character string,"Colour of grouse comb, identified using a philatelic colour strip.  ",
lice_back_of_head,Logical (yes/no),Presence of lice on the back of the head. ,
num_lice_on_comb,Numerical,Number of lice counted on combs. ,"A few rows only indicated ""yes"" rather than a numeric value- these were replaced with NA and noted in the comments. "
num_lice_on_air_sac_left,Numerical,Number of lice counted on left air sac. ,
num_lice_on_air_sac_right,Numerical,Number of lice counted on right air sac. ,
total_num_lice_on_air_sacs,Numerical,Total number of lice counted on both air sacs. ,
lice_ID_ifpresent,Character,"Species identify of louse, if found. ",
hematomas_combs,Logical (yes/no),Presence of hematomas on grouse combs. ,Hematomas are blood-filled wounds caused by lice. 
num_hematomas_on_comb_left,Numerical,Number of hematomas counted on left comb. ,Hematomas are blood-filled wounds caused by lice. 
num_hematomas_on_comb_right,Numerical,Number of hematomas counted on right comb. ,Hematomas are blood-filled wounds caused by lice. 
total_num_hematomas_on_combs,Numerical,Total number of hematomas counted on both combs. ,
hematomas_combs_comments,Character string,Notes about hematomas on combs. ,
hematomas_air_sacs,Logical (yes/no),Presence of hematomas on grouse air sacs. ,Hematomas are blood-filled wounds caused by lice. 
num_hematomas_on_air_sac_left,Numerical,Number of hematomas on left air sac. ,Hematomas are blood-filled wounds caused by lice. 
num_hematomas_on_air_sac_right,Numerical,Number of hematomas on right air sac. ,Hematomas are blood-filled wounds caused by lice. 
total_num_hematomas_on_air_sacs,Numerical,Total number of hematomas counted on both air sacs. ,
hematomas_air_sacs_comments,Character string,Notes about hematomas on air sacs. ,
hematoma_group,Categorical,"Category of hematoma group number on males. Lower numbers indicate less extensive hematomas, higher numbers indicate more extensive hematomas. ",
hematomas_applied,Logical (yes/no),Indicates whether artificial hematomas were applied for experimental study not included in this dataset. ,
cut_feathers,Logical (yes/no),Indicates whether feathers were cut to reveal patagial tag. ,
collect,Logical (yes/no),Indicates whether clipped feathers were kept to examine for ectoparasites. ,
labelled,Logical (yes/no),Indicates whether bag containing clipped feathers were labelled. ,
samples_collected_blood,Logical (yes/no),Indicates whether blood samples were taken from grouse. ,
blood_smear,Logical (yes/no),Indicates whether blood sample was smeared to analyze for the presence of parasites. ,
blood_tryps,Logical (yes/no),Evidence of tryps (trypanosoma) in blood samples from observed bird. ,"Blood samples collected in the field, and then processed in the lab within 24hrs. "
blood_malaria,Logical (yes/no),Evidence of plasmodium (avian malaria) from blood sample. ,"Values of ""maybe"" indicate evidence of a parasite was found, but it could not be distinguished. "
blood_leuco,Logical (yes/no),Evidence of leucochloridium (parasitic flatworm) in blood. ,Some values 
blood_haema,Logical (yes/no),Evidence of haemoproteus in blood sample. ,"Values of ""maybe"" indicate evidence of a parasite was found, but it could not be distinguished. "
samples_collected_fecal,Logical (yes/no),Indicates whether fecal sample was taken. ,
fecal_sample_mites ,Logical (yes/no),Presence of mites in fecal sample from observed bird. ,"Fecal samples collected in the field, and then put in fridge for several weeks. "
fecal_sample_spores,Logical (yes/no),Presence of spores in fecal sample from obesrved bird. ,"Fecal samples collected in the field, and then put in fridge for several weeks. "
fecal_samples_coccidia,Logical (yes/no),Evidence of coccidia in fecal sample from observed bird. ,"Fecal samples collected in the field, and then put in fridge to stabilize coccidia for several weeks. Coccidia could only be detected via shedding eggs, which may explain low levels of observation. "
fecal_sample_comments,Character string,Commnnts on fecal sample,
samples_collected_ectoparasites,Logical (yes/no),Indicates whether ectoparasites were sampled from bird. ,
samples_collected_cecal,Logical (yes/no),Indicates whether cecal sample was taken from bird. ,
hematocrit_cells_1,"Numerical, milimetres ",Amount of first blood sample volume comprised of cells. ,"High amounts of cells can indicate an infection, especially white blood cells (which were not often differentiated). "
hematocrit_cells_2,"Numerical, milimetres ",Amount of second blood sample volume comprised of cells. ,"High amounts of cells can indicate an infection, especially white blood cells (which were not often differentiated). "
hematocrit_plasma_1,"Numerical, milimetres ",Amount of first blood sample volume comprised of plasma. ,
hematocrit_plasma_2,"Numerical, milimetres ",Amount of second blood sample volume comprised of plasma. ,
hematocrit_total_1,"Numerical, milimetres ",Total volume of first blood sample. ,
hematocrit_total_2,"Numerical, milimetres ",Total volume of second blood sample. ,
slide_number,Numerical,Number ID of slides on which blood samples were analyzed. ,
box_number,Categorical,Box ID where slides were stored. ,
existing_injuries,Character string,Comments on injuries found on grouse before capture. ,
handling_injury,Character string,Injuries caused to grouse during handling,
stresses_while_handling_describe,Character string,Stress level and comments on grouse during handling. ,
comments,Character,Notes about individual/conditions when observed on the lek. ,"Comments of note: RECAP indicates bird was captured in a previous year, and may or may not have measurements taken on this capture. Removal study individuals were sometimes sent to Beth Williams, a wildlife veterinarian at the University of Wyoming. "
