"source","binder_pdf_page_number","year","month","day","arrival_time","sunrise_time","observer","lek_name","trapping_activity","wind_mph","cloud_cover_percent_comments","snowing_status","raining_status","temp_f","other_weather_conditions","lek_ground_condition","predator_disturbance_type","predator_disturbance_time","observation_time","num_males_observed","num_females_observed","comments_observations_or_marks","other_fights_and_comments"
"binder","80","1990",4,23,"5:48","6:15","Gregg Kurz","mud_springs",NA,"5 to 10","5","no","no","38",NA,"clear",NA,NA,"7:15",118,19,NA,"Page reads ""547"" blank for sunrise value"
"binder","80","1990",4,23,"5:48","6:15","Gregg Kurz","mud_springs",NA,"5 to 10","5","no","no","38",NA,"clear",NA,NA,"7:40",107,12,NA,"Page reads ""547"" blank for sunrise value"
"binder","80","1990",4,23,"5:48","6:15","Gregg Kurz","mud_springs",NA,"5 to 10","5","no","no","38",NA,"clear",NA,NA,"8:00",101,4,NA,"Page reads ""547"" blank for sunrise value"
"binder","83","1990",4,27,"6:00","6:10","Gregg Kurz","mud_springs",NA,"10 to 20","20","last night",NA,"29",NA,"clear","golden eagle","6:00","6:02",40,NA,NA,"No tagged males observed"
"binder","83","1990",4,27,"6:00","6:10","Gregg Kurz","mud_springs",NA,"10 to 20","20","last night",NA,"29",NA,"clear","golden eagle","6:00","6:13",68,NA,NA,"No tagged males observed"
"binder","83","1990",4,27,"6:00","6:10","Gregg Kurz","mud_springs",NA,"10 to 20","20","last night",NA,"29",NA,"clear","golden eagle","6:00","6:25",102,10,NA,"No tagged males observed"
"binder","83","1990",4,27,"6:00","6:10","Gregg Kurz","mud_springs",NA,"10 to 20","20","last night",NA,"29",NA,"clear","golden eagle","6:00","6:50",109,6,NA,"No tagged males observed"
"binder","83","1990",4,27,"6:00","6:10","Gregg Kurz","mud_springs",NA,"10 to 20","20","last night",NA,"29",NA,"clear","golden eagle","6:00","7:10",105,7,NA,"No tagged males observed"
"binder","83","1990",4,27,"6:00","6:10","Gregg Kurz","mud_springs",NA,"10 to 20","20","last night",NA,"29",NA,"clear","golden eagle","6:00","7:30",103,5,NA,"No tagged males observed"
"binder","83","1990",4,27,"6:00","6:10","Gregg Kurz","mud_springs",NA,"10 to 20","20","last night",NA,"29",NA,"clear","golden eagle","6:00","7:41",103,2,NA,"No tagged males observed"
"binder","83","1990",4,27,"6:00","6:10","Gregg Kurz","mud_springs",NA,"10 to 20","20","last night",NA,"29",NA,"clear","golden eagle","6:00","8:00",94,0,NA,"No tagged males observed"
"binder","84","1990",4,28,"5:47","6:07","White","mud_springs","none","10 to 15","100","no","yes","40",NA,"clear",NA,NA,"5:48",62,5,NA,"? by UM male, 7:15 ? picked up. Left 7:40 - no hens"""
"binder","84","1990",4,28,"5:47","6:07","White","mud_springs","none","10 to 15","100","no","yes","40",NA,"clear",NA,NA,"6:16",58,1,NA,"? by UM male, 7:15 ? picked up. Left 7:40 - no hens"""
"binder","84","1990",4,28,"5:47","6:07","White","mud_springs","none","10 to 15","100","no","yes","40",NA,"clear",NA,NA,"6:48",61,2,NA,"? by UM male, 7:15 ? picked up. Left 7:40 - no hens"""
"binder","84","1990",4,28,"5:47","6:07","White","mud_springs","none","10 to 15","100","no","yes","40",NA,"clear",NA,NA,"6:51",56,2,"Maybe from north lek - walking through","? by UM male, 7:15 ? picked up. Left 7:40 - no hens"""
"binder","84","1990",4,28,"5:47","6:07","White","mud_springs","none","10 to 15","100","no","yes","40",NA,"clear",NA,NA,"7:25",61,1,NA,"? by UM male, 7:15 ? picked up. Left 7:40 - no hens"""
"binder","84","1990",4,28,"5:47","6:07","White","mud_springs","none","10 to 15","100","no","yes","40",NA,"clear",NA,NA,"7:35",53,0,NA,"? by UM male, 7:15 ? picked up. Left 7:40 - no hens"""
"binder","85","1990",4,29,"5:54","6:10","Gregg Kurz","mud_springs",NA,"10 to 20","60","no","no","29",NA,"clear",NA,NA,"6:00",52,NA,NA,NA
"binder","85","1990",4,29,"5:54","6:10","Gregg Kurz","mud_springs",NA,"10 to 20","60","no","no","29",NA,"clear",NA,NA,"6:20",78,NA,NA,NA
"binder","85","1990",4,29,"5:54","6:10","Gregg Kurz","mud_springs",NA,"10 to 20","60","no","no","29",NA,"clear",NA,NA,"6:30",104,2,NA,NA
"binder","85","1990",4,29,"5:54","6:10","Gregg Kurz","mud_springs",NA,"10 to 20","60","no","no","29",NA,"clear",NA,NA,"6:45",109,2,NA,NA
"binder","85","1990",4,29,"5:54","6:10","Gregg Kurz","mud_springs",NA,"10 to 20","60","no","no","29",NA,"clear",NA,NA,"6:58",110,2,NA,NA
"binder","85","1990",4,29,"5:54","6:10","Gregg Kurz","mud_springs",NA,"10 to 20","60","no","no","29",NA,"clear",NA,NA,"7:15",108,NA,NA,NA
"binder","85","1990",4,29,"5:54","6:10","Gregg Kurz","mud_springs",NA,"10 to 20","60","no","no","29",NA,"clear",NA,NA,"7:35",104,NA,NA,NA
"binder","85","1990",4,29,"5:54","6:10","Gregg Kurz","mud_springs",NA,"10 to 20","60","no","no","29",NA,"clear",NA,NA,"8:05",87,NA,NA,NA
"binder","88","1990",5,2,"5:43","6:10","Gregg Kurz","mud_springs","cannon netting","0 to 5","5","no","no","28",NA,"clear",NA,NA,"5:59",114,8,NA,NA
"binder","88","1990",5,2,"5:43","6:10","Gregg Kurz","mud_springs","cannon netting","0 to 5","5","no","no","28",NA,"clear",NA,NA,"6:10",118,8,NA,NA
"binder","88","1990",5,2,"5:43","6:10","Gregg Kurz","mud_springs","cannon netting","0 to 5","5","no","no","28",NA,"clear",NA,NA,"6:25",125,6,NA,NA
"binder","88","1990",5,2,"5:43","6:10","Gregg Kurz","mud_springs","cannon netting","0 to 5","5","no","no","28",NA,"clear",NA,NA,"6:40",123,4,NA,NA
"binder","88","1990",5,2,"5:43","6:10","Gregg Kurz","mud_springs","cannon netting","0 to 5","5","no","no","28",NA,"clear",NA,NA,"7:00",121,2,NA,NA
"binder","88","1990",5,2,"5:43","6:10","Gregg Kurz","mud_springs","cannon netting","0 to 5","5","no","no","28",NA,"clear",NA,NA,"7:14",121,1,NA,NA
"binder","88","1990",5,2,"5:43","6:10","Gregg Kurz","mud_springs","cannon netting","0 to 5","5","no","no","28",NA,"clear",NA,NA,"7:35",118,0,NA,NA
"binder","88","1990",5,2,"5:43","6:10","Gregg Kurz","mud_springs","cannon netting","0 to 5","5","no","no","28",NA,"clear",NA,NA,"7:45",112,0,NA,NA
"binder","90","1990",5,5,"5:38","6:05","White","mud_springs","cannon netting",NA,"80","no",NA,"30",NA,"snow and rain overnight",NA,NA,"5:45",24,1,NA,"W lek eng"
"binder","91","1990",5,6,"5:35","6:00","White","mud_springs","none","0 to 5","0","no","no","30",NA,"clear",NA,NA,"5:39",116,7,NA,"Birds very dispersed at tent, shifted breeding center, Left 7:13 birds just sitting - hends wandering off, lots of male/male flew"
"binder","91","1990",5,6,"5:35","6:00","White","mud_springs","none","0 to 5","0","no","no","30",NA,"clear",NA,NA,"7:09",53,6,NA,"Birds very dispersed at tent, shifted breeding center, Left 7:13 birds just sitting - hends wandering off, lots of male/male flew"
"binder","92","1990",5,8,"5:30","6:00","White/Timalholoth","mud_springs","none","5 to 10","95","no","overnight","35",NA,"clear",NA,NA,"5:39",89,10,NA,"By 7:05 most birds gone"
"binder","92","1990",5,8,"5:30","6:00","White/Timalholoth","mud_springs","none","5 to 10","95","no","overnight","35",NA,"clear",NA,NA,"6:33",95,3,"Hens just wandering","By 7:05 most birds gone"
"binder","93","1990",5,9,"5:49","5:58","White/Brady","mud_springs","?","calm","80","no","no","25",NA,"snow covered",NA,NA,"6:04",70,10,NA,"Left 6:58"
"binder","93","1990",5,9,"5:49","5:58","White/Brady","mud_springs","?","calm","80","no","no","25",NA,"snow covered",NA,NA,"6:56",47,4,"Very (?), very little activity","Left 6:58"
"binder","96","1990",5,16,"5:44","6:00","White","mud_springs","none","0 to 5","40","no","no","46",NA,"clear",NA,NA,"5:52",41,11,NA,"No ? birds!, By 6:50 most hens gone, Left 6:55, 2 females homo? cop. male, Male copopulated in bush, next to ? male"
"binder","96","1990",5,16,"5:44","6:00","White","mud_springs","none","0 to 5","40","no","no","46",NA,"clear",NA,NA,"6:09",4,12,NA,"No ? birds!, By 6:50 most hens gone, Left 6:55, 2 females homo? cop. male, Male copopulated in bush, next to ? male"
"binder","96","1990",5,16,"5:44","6:00","White","mud_springs","none","0 to 5","40","no","no","46",NA,"clear",NA,NA,"6:15",29,4,NA,"No ? birds!, By 6:50 most hens gone, Left 6:55, 2 females homo? cop. male, Male copopulated in bush, next to ? male"
"binder","96","1990",5,16,"5:44","6:00","White","mud_springs","none","0 to 5","40","no","no","46",NA,"clear",NA,NA,"6:30",19,1,NA,"No ? birds!, By 6:50 most hens gone, Left 6:55, 2 females homo? cop. male, Male copopulated in bush, next to ? male"
"binder","58","1990",3,23,"5:43","6:01","White","north","none","2 (picked upto around 20mph end of observation)","100","no",NA,"~20",NA,"snow cover - snow, high winds overnight ",NA,NA,"5:46",25,0,"Lots of strutting","Left 6:51, MCJ 0709 - no birds."
"binder","58","1990",3,23,"5:43","6:01","White","north","none","2 (picked upto around 20mph end of observation)","100","no",NA,"~20",NA,"snow cover - snow, high winds overnight ",NA,NA,"5:56",25,2,NA,"Left 6:51, MCJ 0709 - no birds."
"binder","58","1990",3,23,"5:43","6:01","White","north","none","2 (picked upto around 20mph end of observation)","100","no",NA,"~20",NA,"snow cover - snow, high winds overnight ",NA,NA,"6:37",26,2,"was strutting (?) lek preening ","Left 6:51, MCJ 0709 - no birds."
"binder","58","1990",3,23,"5:43","6:01","White","north","none","2 (picked upto around 20mph end of observation)","100","no",NA,"~20",NA,"snow cover - snow, high winds overnight ",NA,NA,"6:43",25,0,"some males wandering off","Left 6:51, MCJ 0709 - no birds."
"binder","59","1990",3,25,"5:39","6:00","White","north","none","0 to 5","0",NA,NA,"~25",NA,"light snow cover",NA,NA,"5:42",33,1,"1 juvenile ","6: ? - 11 hens flew S over lek. May have been in sagebrush to N. - Didn't land S. Left 7:03. WY - 1/2 R tail feathers missing (14 tail feathers)."
"binder","59","1990",3,25,"5:39","6:00","White","north","none","0 to 5","0",NA,NA,"~25",NA,"light snow cover",NA,NA,"6:14",32,0,NA,"6: ? - 11 hens flew S over lek. May have been in sagebrush to N. - Didn't land S. Left 7:03. WY - 1/2 R tail feathers missing (14 tail feathers)."
"binder","59","1990",3,25,"5:39","6:00","White","north","none","0 to 5","0",NA,NA,"~25",NA,"light snow cover",NA,NA,"6:57",30,0,"1 juvenile","6: ? - 11 hens flew S over lek. May have been in sagebrush to N. - Didn't land S. Left 7:03. WY - 1/2 R tail feathers missing (14 tail feathers)."
"binder","60","1990",3,28,"6:00","6:00","White","north","none","10 to 15 (gust to 25)","100","no",NA,"~15","Rain changing to snow after, (?) by strong winds.  ","snow cover",NA,NA,"6:05",27,1,"little activity","Except for B/B not a lot of strutting only a few moments of activity. Left 7:20"
"binder","60","1990",3,28,"6:00","6:00","White","north","none","10 to 15 (gust to 25)","100","no",NA,"~15","Rain changing to snow after, (?) by strong winds.  ","snow cover",NA,NA,"6:46",25,0,NA,"Except for B/B not a lot of strutting only a few moments of activity. Left 7:20"
"binder","60","1990",3,28,"6:00","6:00","White","north","none","10 to 15 (gust to 25)","100","no",NA,"~15","Rain changing to snow after, (?) by strong winds.  ","snow cover",NA,NA,"7:06",25,0,"little activity - a lot of males observed at centre of lek ","Except for B/B not a lot of strutting only a few moments of activity. Left 7:20"
"binder","60","1990",3,28,"6:00","6:00","White","north","none","10 to 15 (gust to 25)","100","no",NA,"~15","Rain changing to snow after, (?) by strong winds.  ","snow cover",NA,NA,"7:17",27,0,"Some birds flying off","Except for B/B not a lot of strutting only a few moments of activity. Left 7:20"
"binder","61","1990",3,30,"5:45","5:49","White/Frieson","north","none","0 to 5","100","no","no","~25",NA,"snow particles",NA,NA,"5:46",26,1,"G/B, W/Y",NA
"binder","61","1990",3,30,"5:45","5:49","White/Frieson","north","none","0 to 5","100","no","no","~25",NA,"snow particles",NA,NA,"6:33",26,2,NA,NA
"binder","61","1990",3,30,"5:45","5:49","White/Frieson","north","none","0 to 5","100","no","no","~25",NA,"snow particles",NA,NA,"7:06",28,0,"Lek very spread out",NA
"binder","62","1990",4,4,"6:31","6:54","White","north","none","0","1","no","no","35",NA,"clear","prairie (?) falcon, ?","7:08, 7:40","6:37",34,59,"On both sides of road, male perform in lek; female G0331 O, male R-, male B-","Left 7:54 - (?) center of lek, hen cluster on both sides of road. 7: 07 - all male go down, 7:06 - some male go up, 7:15 - all birds down - up to strut at 7:20, 7:36 - (?), all birds go down"
"binder","62","1990",4,4,"6:31","6:54","White","north","none","0","1","no","no","35",NA,"clear","prairie (?) falcon, ?","7:08, 7:40","7:12",13,9,"Female on ? of road (except 1)","Left 7:54 - (?) center of lek, hen cluster on both sides of road. 7: 07 - all male go down, 7:06 - some male go up, 7:15 - all birds down - up to strut at 7:20, 7:36 - (?), all birds go down"
"binder","62","1990",4,4,"6:31","6:54","White","north","none","0","1","no","no","35",NA,"clear","prairie (?) falcon, ?","7:08, 7:40","7:46",25,12,"Female on (?) side of road (except 1), NW","Left 7:54 - (?) center of lek, hen cluster on both sides of road. 7: 07 - all male go down, 7:06 - some male go up, 7:15 - all birds down - up to strut at 7:20, 7:36 - (?), all birds go down"
"binder","63","1990",4,5,"7:03","6:45","White","north","spotlight","8","100","yes",NA,NA,"Snow and wind","snow covered",NA,NA,"7:06",25,30,"Both side of road - some birds flying around","Left 8:00. 7:15 - coyotes howled, birds not disturbed"
"binder","63","1990",4,5,"7:03","6:45","White","north","spotlight","8","100","yes",NA,NA,"Snow and wind","snow covered",NA,NA,"7:58",27,23,"Cluster - north side","Left 8:00. 7:15 - coyotes howled, birds not disturbed"
"binder","64","1990",4,6,NA,"6:42","White/Maunare","north","spotlight","calm","5",NA,NA,"~20",NA,"light snow",NA,NA,"6:18",32,46,NA,"Left at 6:27 - Get (?) truck by 8:30am,  birds all on 1 side (SW) of road."
"binder","65","1990",4,7,NA,"6:52","White/Spencer","north","spotlight","calm","0","no","no","~25",NA,"clear",NA,NA,"6:25",30,25,NA,"Both side of road - male 28struts/5min on NE side by 17 female. By 7:40 most hens had left.Stopped observations at 7:52."
"binder","65","1990",4,7,NA,"6:52","White/Spencer","north","spotlight","calm","0","no","no","~25",NA,"clear",NA,NA,"7:20",31,49,"Female B0136 - in cluster","Both side of road - male 28struts/5min on NE side by 17 female. By 7:40 most hens had left.Stopped observations at 7:52."
"binder","66","1990",4,8,"6:15","6:45","White/Neimuth/Hutchinson","north","cannon netting","0","50","no","no","~25",NA,"clear",NA,NA,"6:18",36,NA,NA,NA
"binder","67","1990",4,10,"6:21","6:51","White","north","none","10 to 15","100","no","no","~20","Full moon with clear sky overnight","frost - heavy",NA,NA,"6:27",28,26,"Birds all on SW side of road","MC -> GB, By ~7:00 4 males on NE side of road w/ hen cluster, GB - hen cluster on SW side, By 7:30 males on E stake on SW gone - all action on road, Left 7:50 - 3 hens left - all wandering off"
"binder","67","1990",4,10,"6:21","6:51","White","north","none","10 to 15","100","no","no","~20","Full moon with clear sky overnight","frost - heavy",NA,NA,"7:02",28,32,NA,"MC -> GB, By ~7:00 4 males on NE side of road w/ hen cluster, GB - hen cluster on SW side, By 7:30 males on E stake on SW gone - all action on road, Left 7:50 - 3 hens left - all wandering off"
"binder","67","1990",4,10,"6:21","6:51","White","north","none","10 to 15","100","no","no","~20","Full moon with clear sky overnight","frost - heavy",NA,NA,"7:44",15,3,NA,"MC -> GB, By ~7:00 4 males on NE side of road w/ hen cluster, GB - hen cluster on SW side, By 7:30 males on E stake on SW gone - all action on road, Left 7:50 - 3 hens left - all wandering off"
"binder","68","1990",4,11,"7:10 - spotlighting SS","6:34","White","north","none","0 to 5","50","no","no","~20",NA,"clear",NA,NA,"7:12",30,16,"Female y?; Male Y - both (?)","At 7:26 - human distrubance - all birds left"
"binder","69","1990",4,12,"6:55","6:30",NA,"north","none","calm","70","no","sprinkle on and off","~30","Rain overnight","clear","prairie falcon","7 - no one flew","6:58",31,10,"-W male - walking, mounted this (?)","Birds all oin SW side of road. By 7:30 no hens left. Left 7:40. Sunrise 6:30, trapping Sybille"
"binder","72","1990",4,16,"6:08","6:30","White","north","none","20 to 25","60","no","no","37","Thunderstorm moving in","clear","?","7:12; about half males left","6:08",20,2,"Almost no activity","7:26 - 5 males flew off. Golden eagle  ~1/2 mile N of lek flew over ~6:10 - bird all ? . G/B + UM male chased female at on NE side of road. From 6:35 - 7:03: no strutting activity at all. From 7:03 - only 1 UM male strutting. Hawks diving at lek all morning. Hard for birds to strut with the wind. 7:13 - ? all lek. Left 7:30"
"binder","72","1990",4,16,"6:08","6:30","White","north","none","20 to 25","60","no","no","37","Thunderstorm moving in","clear","?","7:12; about half males left","6:30",23,1,"WY/-, WY/-. WRW, BO, GRL1730?","7:26 - 5 males flew off. Golden eagle  ~1/2 mile N of lek flew over ~6:10 - bird all ? . G/B + UM male chased female at on NE side of road. From 6:35 - 7:03: no strutting activity at all. From 7:03 - only 1 UM male strutting. Hawks diving at lek all morning. Hard for birds to strut with the wind. 7:13 - ? all lek. Left 7:30"
"binder","72","1990",4,16,"6:08","6:30","White","north","none","20 to 25","60","no","no","37","Thunderstorm moving in","clear","?","7:12; about half males left","6:52",23,0,"-10L-41R, G/B, -B cordingly - prob BB","7:26 - 5 males flew off. Golden eagle  ~1/2 mile N of lek flew over ~6:10 - bird all ? . G/B + UM male chased female at on NE side of road. From 6:35 - 7:03: no strutting activity at all. From 7:03 - only 1 UM male strutting. Hawks diving at lek all morning. Hard for birds to strut with the wind. 7:13 - ? all lek. Left 7:30"
"binder","72","1990",4,16,"6:08","6:30","White","north","none","20 to 25","60","no","no","37","Thunderstorm moving in","clear","?","7:12; about half males left","7:21",12,0,"NO ACTIVITY!","7:26 - 5 males flew off. Golden eagle  ~1/2 mile N of lek flew over ~6:10 - bird all ? . G/B + UM male chased female at on NE side of road. From 6:35 - 7:03: no strutting activity at all. From 7:03 - only 1 UM male strutting. Hawks diving at lek all morning. Hard for birds to strut with the wind. 7:13 - ? all lek. Left 7:30"
"binder","72","1990",4,16,"6:08","6:30","White","north","none","20 to 25","60","no","no","37","Thunderstorm moving in","clear","?","7:12; about half males left","7:28",4,0,"? female W/? - and tags","7:26 - 5 males flew off. Golden eagle  ~1/2 mile N of lek flew over ~6:10 - bird all ? . G/B + UM male chased female at on NE side of road. From 6:35 - 7:03: no strutting activity at all. From 7:03 - only 1 UM male strutting. Hawks diving at lek all morning. Hard for birds to strut with the wind. 7:13 - ? all lek. Left 7:30"
"binder","73","1990",4,18,"6:05","6:39","White","north","none","calm","60","no","no","30",NA,"clear",NA,NA,"6:08",33,1,NA,"BB -> juven. By 7:05 most strutting stopped - hen gone. 3/4 birds flew at 7:48. 7:48 - left"
"binder","73","1990",4,18,"6:05","6:39","White","north","none","calm","60","no","no","30",NA,"clear",NA,NA,"7:12",32,0,NA,"BB -> juven. By 7:05 most strutting stopped - hen gone. 3/4 birds flew at 7:48. 7:48 - left"
"binder","73","1990",4,18,"6:05","6:39","White","north","none","calm","60","no","no","30",NA,"clear",NA,NA,"7:41",26,1,"Hens on road 1/4 m N of lek and leaving","BB -> juven. By 7:05 most strutting stopped - hen gone. 3/4 birds flew at 7:48. 7:48 - left"
"binder","74","1990",4,21,"6:16","6:20","White/Haliar","north","none","calm","10","no","no","30",NA,"clear",NA,NA,"6:16",0,0,NA,"Not a bird in sight; saw a few on road near S Fetterman"
"binder","75","1990",4,22,"5:51","6:20","White","north","spotlight","calm","70","no","no","30",NA,"clear","golden eagle","6:13","5:51",23,2,NA,"No strutting until 6:58 - eagle left. By 7:03 - 8 birds flew (?). Some birds flying off N - 7:40. Left at 7:40"
"binder","75","1990",4,22,"5:51","6:20","White","north","spotlight","calm","70","no","no","30",NA,"clear","golden eagle","6:13","7:07",15,0,NA,"No strutting until 6:58 - eagle left. By 7:03 - 8 birds flew (?). Some birds flying off N - 7:40. Left at 7:40"
"binder","76","1990",4,23,"5:45","6:16","White","north","none","0 to 5","10","no","no","35",NA,"clear","?","6:35","5:45",25,1,"Too dark to see females","Lek back up in 30 sec after predator, dead male found this AM on lek - prob. dead since 01 Apr 90. Female watched them ~ 6:20 and left at 8:00. (?) on lek 6:32"
"binder","76","1990",4,23,"5:45","6:16","White","north","none","0 to 5","10","no","no","35",NA,"clear","?","6:35","6:46",28,1,"At least 2 juveniles","Lek back up in 30 sec after predator, dead male found this AM on lek - prob. dead since 01 Apr 90. Female watched them ~ 6:20 and left at 8:00. (?) on lek 6:32"
"binder","76","1990",4,23,"5:45","6:16","White","north","none","0 to 5","10","no","no","35",NA,"clear","?","6:35","7:00",28,2,NA,"Lek back up in 30 sec after predator, dead male found this AM on lek - prob. dead since 01 Apr 90. Female watched them ~ 6:20 and left at 8:00. (?) on lek 6:32"
"binder","76","1990",4,23,"5:45","6:16","White","north","none","0 to 5","10","no","no","35",NA,"clear","?","6:35","7:18",26,0,NA,"Lek back up in 30 sec after predator, dead male found this AM on lek - prob. dead since 01 Apr 90. Female watched them ~ 6:20 and left at 8:00. (?) on lek 6:32"
"binder","77","1990",4,25,"5:15","6:10","White","north","spotlight","5 to 10","100","no","no","0"," Rain all night","clear",NA,NA,"5:45",23,0,"WY/Y","Birds really spooked ? howling in distance, almost no activity- no birds seen at lek (?), cold nasty gray dog - some strut (?), left 7:15 - no birds strutting, no female hens, starting to snow"
"binder","77","1990",4,25,"5:15","6:10","White","north","spotlight","5 to 10","100","no","no","0"," Rain all night","clear",NA,NA,"6:47",23,0,NA,"Birds really spooked ? howling in distance, almost no activity- no birds seen at lek (?), cold nasty gray dog - some strut (?), left 7:15 - no birds strutting, no female hens, starting to snow"
"binder","78","1990",4,27,"5:56","6:09","White","north","none","10 to 15","70","no","no","20","Light snow overnight","light snow","peregrine falcon","6:34","6:?",29,1,NA,"6:48- prairie falcon dive bombing birds, perched behind lek. 7:25 - 1/2 birds flew . 7:20 - antelopes wandering through, everyone in flight, but no hens!"
"binder","78","1990",4,27,"5:56","6:09","White","north","none","10 to 15","70","no","no","20","Light snow overnight","light snow","peregrine falcon","6:34","7:09",21,0,"Most males feisty- a few strutting","6:48- prairie falcon dive bombing birds, perched behind lek. 7:25 - 1/2 birds flew . 7:20 - antelopes wandering through, everyone in flight, but no hens!"
"binder","78","1990",4,27,"5:56","6:09","White","north","none","10 to 15","70","no","no","20","Light snow overnight","light snow","peregrine falcon","6:34","7:27",19,0,NA,"6:48- prairie falcon dive bombing birds, perched behind lek. 7:25 - 1/2 birds flew . 7:20 - antelopes wandering through, everyone in flight, but no hens!"
"binder","79","1990",5,2,"5:50","6:05","White","north","none","calm","3","no","no","30",NA,"clear","?","7:03 ( no birds flew)","5:50",27,3,NA,"~1/2 birds flew at 7:30, last few hens left 7:30. Some on lek 6:13. Predator at 7:03 - no birds flew. A map of the lek and their relative locations appears to be created with tag colors marked all over the bottom half of the page"
"binder","79","1990",5,2,"5:50","6:05","White","north","none","calm","3","no","no","30",NA,"clear","?","7:03 ( no birds flew)","7:25",32,1,NA,"~1/2 birds flew at 7:30, last few hens left 7:30. Some on lek 6:13. Predator at 7:03 - no birds flew. A map of the lek and their relative locations appears to be created with tag colors marked all over the bottom half of the page"
"binder","79","1990",5,2,"5:50","6:05","White","north","none","calm","3","no","no","30",NA,"clear","?","7:03 ( no birds flew)","7:34",24,0,NA,"~1/2 birds flew at 7:30, last few hens left 7:30. Some on lek 6:13. Predator at 7:03 - no birds flew. A map of the lek and their relative locations appears to be created with tag colors marked all over the bottom half of the page"
"binder","80","1990",5,3,"5:30","6:05","White","north","cannon netting","calm","40","no","no","30",NA,"light frost",NA,NA,"5:38",23,2,"BG WY YW WYY",NA
"binder","81","1990",5,7,"5:39","6:00","White","north","none","calm","88","no","no","40 to 45","TS just N of lek","clear",NA,NA,"5:42",27,6,NA,"Left at 7:28, almost no activity. By 7:23 - all hens wandered off. By 6:35 most activity stopped. At 6:55 female arrived, walked through lek. 10 avocets, 10 pairs mallards, 1 pair pintail, 2 pair RN ducks. A map of the lek and their relative locations appears to be created with tag colors marked all over the bottom half of the page"
"binder","81","1990",5,7,"5:39","6:00","White","north","none","calm","88","no","no","40 to 45","TS just N of lek","clear",NA,NA,"7:01",25,3,"Almost no activity","Left at 7:28, almost no activity. By 7:23 - all hens wandered off. By 6:35 most activity stopped. At 6:55 female arrived, walked through lek. 10 avocets, 10 pairs mallards, 1 pair pintail, 2 pair RN ducks. A map of the lek and their relative locations appears to be created with tag colors marked all over the bottom half of the page"
"binder","82","1990",5,13,"5:38","5:58","White","north","none","0 to 5","100","no","occassionally spitting","35",NA,"clear",NA,NA,"5:38",18,1,NA,"5:47 - 3 birds flew - including W141-. 5:59 - 1 hen left lek  - another entered. 6:12 - WRR walked off. 6:13 - 1 hen flew, 6:15 - last hen flew - only five strutting. 6:19 - 7 males flew - only RB + BB left on lek + BB was fiesty. 6:26 - all birds walked off lek. 6:30 - left"
"binder","82","1990",5,13,"5:38","5:58","White","north","none","0 to 5","100","no","occassionally spitting","35",NA,"clear",NA,NA,"6:11",11,2,"4 of the males sitting just beyong lek preening","5:47 - 3 birds flew - including W141-. 5:59 - 1 hen left lek  - another entered. 6:12 - WRR walked off. 6:13 - 1 hen flew, 6:15 - last hen flew - only five strutting. 6:19 - 7 males flew - only RB + BB left on lek + BB was fiesty. 6:26 - all birds walked off lek. 6:30 - left"
