,,,,,,,,,,,,,,,,,,,,,,,Hematomas,Hematomas,Color,Color,Number,Number,WYGF Leg Band #,Cut Feathers,Collect,Labelled,samples collected,,samples collected,samples collected,,,,
13,1987-04-04,,NORTH,JUVENILE,MALE,,,2.7,607,271,291,38.01,20.77,140,22.4,70,64,Yellow,,Yellow/Gray,,,,,Green,Blue,0399,0270,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,Red blotches + Flea(?) (not collected) on air sac,,,"Cloaca fine
Nape fine "
14,1987-04-04,,NORTH,ADULT,MALE,,,3.4,751,329,309,39.96,20.88,150,27.36,72,65,Yellow/Green,,Bright Yellow,,,,,Purple,Green,0573,0398,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,Several red blotches on air sacs,,,Nape fine 
15,1987-04-04,,NORTH LEK,JUVENILE,MALE,,,2.6,685,266,303,38.78,20.25,135,21.71,67,65,Yellow/Gray,,Yellow,,,,,Green,Purple,0397,0574,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,air sacs red blotches,,,Cloaca fine. Nape fine 
16,1987-04-19,8:15,NORTH LEK,YEARLING,MALE,,,3.1,730,239,304,37.6,22.1,132,21.4,70,71,Yellow/Green,0,Yellow,0,-,+,+,Green,White,390,482,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,,,Mild case of diarrhea 
17,1987-04-19,,NORTH LEK,YEARLING,MALE,,"
",2.8,732,231,309,38.9,21,125,23.3,70,72,Yellow/Green,0,Golden Yellow,0,-,+,+,Blue,White,251,479,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,,,
18,1987-04-19,7:50,NORTH LEK,YEARLING,MALE,,"
",2.6,700,216,299,36.7,23.7,132,21,71,65,Yellow,0,Yellow,0,-,-,+,Red,White,181,480,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,,,
19,1987-04-19,7:30,NORTH LEK,YEARLING,MALE,,"
",2.7,715,234,287,38.5,21.4,131,24.5,69,69,Green,0,Yellow,0,-,+,+,White,Green,481,388,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,,,
20,1987-04-19,7:10,NORTH LEK,ADULT ,MALE,,"
",3.05,763,280,296,37.7,21.1,132,23.2,70,68,Yellow/Green,0,Yellow/Green,0,-,+,+,White,Blue,478,252,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,,,
21,1987-04-19,7:30,NORTH LEK,ADULT ,MALE,,"
",3,,,,,,,,,,,,,0,,,,Green,Green,302,301,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,Recapture
22,1987-03-29,,NORTH LEK,ADULT ,FEMALE,,,1.8,579,185,253,30,18.9,101,,56,57,,,,,,,,Red,Orange,107,8,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,,,No Radio -- Goddamn it!
23,1987-03-29,,NORTH LEK,YEARLING,FEMALE,,"
",1.75,557,185,257,31.5,18.5,105,,58,58,,,,,,,,Green,Orange,308,7,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,,,No Radio
24,1987-03-27,,NORTH LEK,YEARLING,FEMALE,,,1.7,582,194,263,30.1,17.9,101,,59,58,,,,,,,,Green,Green,310,309,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,,,RADIO 150.866
25,1987-03-27,,NORTH LEK,ADULT,FEMALE,,,1.8,557,185,258,32.2,17.5,107,,57,61,,,,,,,,White,White,446,445,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,,,RADIO 151.046
